Data/Hora*;Lençóis Paulista Jusante;;
;Precipitação (mm)**;Nível (cm);Vazão (m3/s)
11/09/2025 00:00;0;100;1.68
11/09/2025 01:00;0;100;1.68
11/09/2025 02:00;0;100;1.68
11/09/2025 03:00;0;101;1.76
11/09/2025 04:00;0;100;1.68
11/09/2025 05:00;0;101;1.76
11/09/2025 06:00;0;101;1.76
11/09/2025 07:00;0;100;1.68
11/09/2025 08:00;0;100;1.68
11/09/2025 09:00;0;100;1.68
11/09/2025 10:00;0;100;1.68
11/09/2025 11:00;0;99;1.6
11/09/2025 12:00;0;99;1.6
11/09/2025 13:00;0;99;1.6
11/09/2025 14:00;0;99;1.6
11/09/2025 15:00;0;99;1.6
11/09/2025 16:00;0;99;1.6
11/09/2025 17:00;0;100;1.68
11/09/2025 18:00;0;100;1.68
11/09/2025 19:00;0;101;1.76
11/09/2025 20:00;0;101;1.76
11/09/2025 21:00;0;100;1.68
11/09/2025 22:00;0;100;1.68
11/09/2025 23:00;0;100;1.68
12/09/2025 00:00;0;99;1.6
12/09/2025 01:00;0;99;1.6
12/09/2025 02:00;0;99;1.6
12/09/2025 03:00;0;100;1.68
12/09/2025 04:00;0;100;1.68
12/09/2025 05:00;0;100;1.68
12/09/2025 06:00;0;100;1.68
12/09/2025 07:00;0;100;1.68
12/09/2025 08:00;0;99;1.6
12/09/2025 09:00;0;99;1.6
12/09/2025 10:00;0;100;1.68
12/09/2025 11:00;0;99;1.6
12/09/2025 12:00;0;100;1.68
12/09/2025 13:00;0;99;1.6
12/09/2025 14:00;0;99;1.6
12/09/2025 15:00;0;99;1.6
12/09/2025 16:00;0;99;1.6
12/09/2025 17:00;0;101;1.76
12/09/2025 18:00;0;100;1.68
12/09/2025 19:00;0;100;1.68
12/09/2025 20:00;0;99;1.6
12/09/2025 21:00;0;99;1.6
12/09/2025 22:00;0;99;1.6
12/09/2025 23:00;0;99;1.6
13/09/2025 00:00;0;100;1.68
13/09/2025 01:00;0;100;1.68
13/09/2025 02:00;0;99;1.6
13/09/2025 03:00;0;100;1.68
13/09/2025 04:00;0;100;1.68
13/09/2025 05:00;0;100;1.68
13/09/2025 06:00;0;99;1.6
13/09/2025 07:00;0;99;1.6
13/09/2025 08:00;0;99;1.6
13/09/2025 09:00;0;99;1.6
13/09/2025 10:00;0;99;1.6
13/09/2025 11:00;0;99;1.6
13/09/2025 12:00;0;99;1.6
13/09/2025 13:00;0;99;1.6
13/09/2025 14:00;0;100;1.68
13/09/2025 15:00;0;100;1.68
13/09/2025 16:00;0;101;1.76
13/09/2025 17:00;0;101;1.76
13/09/2025 18:00;0;101;1.76
13/09/2025 19:00;0;101;1.76
13/09/2025 20:00;0;101;1.76
13/09/2025 21:00;0;101;1.76
13/09/2025 22:00;0;101;1.76
13/09/2025 23:00;0;101;1.76
14/09/2025 00:00;0;100;1.68
14/09/2025 01:00;0;100;1.68
14/09/2025 02:00;0;100;1.68
14/09/2025 03:00;0;100;1.68
14/09/2025 04:00;0;100;1.68
14/09/2025 05:00;0;100;1.68
14/09/2025 06:00;0;100;1.68
14/09/2025 07:00;0;100;1.68
14/09/2025 08:00;0;100;1.68
14/09/2025 09:00;0;100;1.68
14/09/2025 10:00;0;100;1.68
14/09/2025 11:00;0;100;1.68
14/09/2025 12:00;0;100;1.68
14/09/2025 13:00;0;99;1.6
14/09/2025 14:00;0;99;1.6
14/09/2025 15:00;0;99;1.6
14/09/2025 16:00;0;99;1.6
14/09/2025 17:00;0;99;1.6
14/09/2025 18:00;0;99;1.6
14/09/2025 19:00;0;99;1.6
14/09/2025 20:00;0;99;1.6
14/09/2025 21:00;0;99;1.6
14/09/2025 22:00;0;99;1.6
14/09/2025 23:00;0;99;1.6
15/09/2025 00:00;0;99;1.6
15/09/2025 01:00;0;99;1.6
15/09/2025 02:00;0;98;1.52
15/09/2025 03:00;0;100;1.68
15/09/2025 04:00;0;101;1.76
15/09/2025 05:00;0;100;1.68
15/09/2025 06:00;0;99;1.6
15/09/2025 07:00;0;100;1.68
15/09/2025 08:00;0;100;1.68
15/09/2025 09:00;0;100;1.68
15/09/2025 10:00;0;100;1.68
15/09/2025 11:00;0;100;1.68
15/09/2025 12:00;0;100;1.68
15/09/2025 13:00;0;99;1.6
15/09/2025 14:00;0;99;1.6
15/09/2025 15:00;0;99;1.6
15/09/2025 16:00;0;98;1.52
15/09/2025 17:00;0;98;1.52
15/09/2025 18:00;0;98;1.52
15/09/2025 19:00;0;98;1.52
15/09/2025 20:00;0;98;1.52
15/09/2025 21:00;0;98;1.52
15/09/2025 22:00;0;99;1.6
15/09/2025 23:00;0;99;1.6
16/09/2025 00:00;0;98;1.52
16/09/2025 01:00;0;98;1.52
16/09/2025 02:00;0;98;1.52
16/09/2025 03:00;0;100;1.68
16/09/2025 04:00;0;100;1.68
16/09/2025 05:00;0;99;1.6
16/09/2025 06:00;0;99;1.6
16/09/2025 07:00;0;99;1.6
16/09/2025 08:00;0;99;1.6
16/09/2025 09:00;0;99;1.6
16/09/2025 10:00;0;99;1.6
16/09/2025 11:00;0;99;1.6
16/09/2025 12:00;0;98;1.52
16/09/2025 13:00;0;99;1.6
16/09/2025 14:00;0;98;1.52
16/09/2025 15:00;0;98;1.52
16/09/2025 16:00;0;99;1.6
16/09/2025 17:00;0;99;1.6
16/09/2025 18:00;0;99;1.6
16/09/2025 19:00;0;99;1.6
16/09/2025 20:00;0;99;1.6
16/09/2025 21:00;0;99;1.6
16/09/2025 22:00;0;99;1.6
16/09/2025 23:00;0;99;1.6
17/09/2025 00:00;0;99;1,6
17/09/2025 01:00;0;99;1,6
17/09/2025 02:00;0;99;1,6
17/09/2025 03:00;0;100;1,68
17/09/2025 04:00;0;99;1,6
17/09/2025 05:00;0;99;1,6
17/09/2025 06:00;0;98;1,52
17/09/2025 07:00;0;98;1,52
17/09/2025 08:00;0;98;1,52
17/09/2025 09:00;0;99;1,6
17/09/2025 10:00;0;99;1,6
17/09/2025 11:00;0;99;1,6
17/09/2025 12:00;0;99;1,6
17/09/2025 13:00;0;99;1,6
17/09/2025 14:00;0;99;1,6
17/09/2025 15:00;0;99;1,6
